ind-programming_exp,ind-international_exp,ind-entrepeneur_exp,ind-exact_study,ind-degree,gender,count
False,False,False,False,bachelor,male,35
False,False,False,False,bachelor,female,30
False,False,False,False,master,male,28
False,False,False,False,master,female,13
False,False,False,False,phd,male,1
False,False,False,True,bachelor,female,14
False,False,False,True,bachelor,male,7
False,False,False,True,master,female,11
False,False,False,True,master,male,8
False,False,False,True,phd,female,1
False,False,False,True,phd,male,1
False,False,True,False,bachelor,male,32
False,False,True,False,bachelor,female,3
False,False,True,False,master,male,24
False,False,True,False,master,female,10
False,False,True,False,master,other,1
False,False,True,False,phd,male,2
False,False,True,False,phd,other,1
False,False,True,True,bachelor,male,5
False,False,True,True,bachelor,female,2
False,False,True,True,master,female,2
False,True,False,False,bachelor,male,4
False,True,False,False,bachelor,female,3
False,True,False,False,master,male,17
False,True,False,False,master,female,6
False,True,False,False,phd,male,7
False,True,False,False,phd,female,6
False,True,False,True,bachelor,female,1
False,True,False,True,master,female,6
False,True,False,True,master,male,1
False,True,False,True,phd,male,2
False,True,True,False,bachelor,male,3
False,True,True,False,master,male,20
False,True,True,False,master,female,7
False,True,True,False,phd,male,4
False,True,True,True,bachelor,male,1
False,True,True,True,master,male,2
True,False,False,False,bachelor,female,3
True,False,False,False,bachelor,male,2
True,False,False,True,bachelor,female,12
True,False,False,True,bachelor,male,3
True,False,False,True,bachelor,other,1
True,False,False,True,master,male,27
True,False,False,True,master,female,20
True,False,False,True,master,other,2
True,False,False,True,phd,female,2
True,False,False,True,phd,male,1
True,False,False,True,phd,other,1
True,False,True,False,bachelor,male,1
True,False,True,True,bachelor,female,2
True,False,True,True,master,female,5
True,False,True,True,master,male,2
True,True,False,False,master,male,1
True,True,False,False,phd,female,1
True,True,False,True,bachelor,female,1
True,True,False,True,master,female,7
True,True,False,True,master,male,3
True,True,False,True,phd,female,3
True,True,False,True,phd,male,1
True,True,True,False,master,male,1
True,True,True,True,bachelor,male,1
